               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11877,            0.029975,            0.029002,            0.015663,            0.022388,           0.0033784,          0.00056504,             0.11305,            0.024585,            0.028429,             0.00012,             0.00012,             0.09892
                   1,             0.10723,            0.026842,             0.02699,            0.031684,            0.022388,           0.0065932,           0.0013522,            0.093873,            0.022717,            0.025045,          0.00024505,          0.00024505,            0.097745
                   2,            0.092794,            0.025801,            0.022887,            0.045169,            0.029851,           0.0091135,           0.0018194,             0.08361,            0.021834,            0.023211,          0.00036495,          0.00036495,            0.096565
                   3,            0.081767,            0.027395,            0.019729,            0.020742,             0.12687,             0.01339,           0.0028211,            0.076216,            0.021417,            0.021547,          0.00047971,          0.00047971,             0.09538
                   4,            0.073733,            0.027391,            0.017729,            0.035176,            0.097015,            0.022035,           0.0037444,            0.070852,            0.020927,            0.021036,          0.00058931,          0.00058931,            0.094189
                   5,            0.068956,            0.026012,            0.016813,            0.091447,             0.17164,             0.05854,            0.016644,            0.065284,            0.020853,            0.020363,          0.00069377,          0.00069377,            0.092994
                   6,            0.065034,            0.025828,            0.016187,             0.11713,             0.24627,              0.1078,            0.028006,            0.060068,            0.020416,            0.019692,          0.00079308,          0.00079308,            0.091793
                   7,             0.06087,            0.024174,             0.01335,             0.23455,             0.25373,             0.20888,            0.073231,             0.05655,            0.019934,            0.016671,          0.00088724,          0.00088724,            0.090587
                   8,            0.054311,            0.024086,            0.011979,             0.30255,             0.32836,              0.3003,             0.11856,            0.055244,            0.018785,            0.015409,          0.00097626,          0.00097626,            0.089376
                   9,            0.053526,            0.022819,            0.010776,             0.35158,             0.37313,             0.37542,             0.16189,            0.051869,            0.017669,            0.013939,           0.0010601,           0.0010601,             0.08816
                  10,            0.049884,            0.022993,           0.0093155,             0.37922,             0.32804,             0.38437,             0.16122,            0.049874,            0.016652,            0.012988,           0.0011388,           0.0011388,            0.086939
                  11,            0.052902,            0.019899,           0.0082728,               0.879,             0.32726,             0.36739,             0.15178,            0.052694,            0.015194,            0.012992,           0.0012124,           0.0012124,            0.085712
                  12,            0.049893,            0.020836,            0.007459,              0.8099,             0.36567,             0.31851,             0.11513,            0.055213,            0.014359,            0.013244,           0.0012808,           0.0012808,            0.084481
                  13,            0.054414,            0.017426,           0.0063874,             0.77463,             0.35821,             0.28253,            0.083481,            0.051541,            0.014469,            0.012978,           0.0013441,           0.0013441,            0.083244
                  14,            0.051917,            0.020064,           0.0056212,              0.8373,             0.35821,             0.36824,             0.17088,            0.049296,            0.014196,            0.012844,           0.0014022,           0.0014022,            0.082002
                  15,            0.054374,            0.017275,           0.0057824,             0.82843,             0.35075,             0.35529,             0.13621,            0.054081,            0.013738,            0.012324,           0.0014552,           0.0014552,            0.080755
                  16,            0.052586,            0.019603,           0.0055558,             0.90811,             0.37313,             0.43567,             0.19794,            0.043812,            0.013756,            0.011936,            0.001503,            0.001503,            0.079503
