               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11504,            0.040915,              0.0292,            0.011086,            0.014925,           0.0023033,          0.00050749,            0.070716,             0.01637,            0.020592,             0.00038,             0.00038,             0.09658
                   1,            0.098828,            0.045246,              0.0263,            0.023007,            0.074627,            0.012137,           0.0024167,            0.052671,            0.015222,              0.0213,          0.00076492,          0.00076492,            0.093065
                   2,            0.083638,            0.047131,            0.023619,            0.010803,             0.12239,           0.0066781,           0.0015868,            0.040622,            0.016857,            0.020524,           0.0011447,           0.0011447,            0.089545
                   3,             0.07148,            0.038608,             0.02212,             0.01186,             0.53881,            0.010438,            0.002652,            0.036641,            0.020404,            0.020601,           0.0015193,           0.0015193,            0.086019
                   4,            0.072208,            0.034457,            0.019109,            0.029827,             0.45672,             0.02483,           0.0068655,            0.035845,            0.016017,            0.013647,           0.0018888,           0.0018888,            0.082489
                   5,              0.0702,            0.032602,            0.013988,            0.048541,             0.30896,            0.039078,            0.010733,            0.035314,            0.015051,           0.0082988,           0.0022531,           0.0022531,            0.078953
                   6,            0.066782,            0.029762,            0.010146,             0.17802,             0.22388,             0.16817,            0.053726,            0.034151,             0.01415,           0.0043678,           0.0026123,           0.0026123,            0.075412
                   7,            0.064362,             0.02911,           0.0068091,             0.14742,             0.17164,               0.106,            0.028525,            0.032745,            0.015122,           0.0038768,           0.0029663,           0.0029663,            0.071866
                   8,            0.063837,            0.028471,           0.0060273,             0.17998,             0.32836,             0.17798,            0.076523,             0.02652,            0.014566,           0.0027014,           0.0033152,           0.0033152,            0.068315
                   9,            0.059456,            0.026994,           0.0050821,             0.10174,             0.32836,             0.10616,            0.043375,             0.02856,            0.014027,           0.0026072,           0.0036589,           0.0036589,            0.064759
                  10,            0.057953,            0.026057,           0.0046037,             0.14436,             0.48806,             0.15543,            0.065492,            0.027175,            0.014874,           0.0015502,           0.0039975,           0.0039975,            0.061198
                  11,             0.05489,            0.026402,           0.0037342,             0.11409,             0.84776,             0.12224,            0.056193,            0.024705,            0.015934,           0.0022503,            0.004331,            0.004331,            0.057631
                  12,            0.053864,            0.024921,            0.003481,             0.15545,             0.34627,             0.15574,            0.071663,            0.028825,            0.014052,           0.0023564,           0.0046592,           0.0046592,            0.054059
                  13,            0.058636,            0.025337,           0.0040051,             0.10275,              0.4012,            0.089887,            0.041836,            0.025476,             0.01423,            0.005447,           0.0049824,           0.0049824,            0.050482
                  14,            0.056513,            0.025254,           0.0035726,             0.16663,             0.49851,             0.17927,            0.064122,            0.030847,            0.013496,           0.0018525,           0.0053004,           0.0053004,              0.0469
                  15,            0.055377,            0.025599,           0.0034986,             0.12337,             0.58806,             0.15071,            0.077589,            0.024066,            0.015719,            0.001685,           0.0056132,           0.0056132,            0.043313
                  16,            0.052758,            0.025107,           0.0030855,             0.10521,             0.63881,             0.10689,            0.049804,            0.025307,            0.016196,           0.0041025,           0.0059209,           0.0059209,            0.039721
                  17,             0.05126,            0.024668,            0.003237,             0.11624,             0.61045,             0.10877,             0.05675,            0.024317,             0.01848,           0.0015055,           0.0062235,           0.0062235,            0.036123
                  18,             0.05133,            0.022781,            0.003087,              0.1629,             0.37612,             0.13626,            0.079337,             0.02116,            0.016197,           0.0041074,           0.0065209,           0.0065209,            0.032521
                  19,            0.048679,            0.025174,           0.0026811,             0.13631,             0.83284,             0.13683,            0.068075,            0.023346,            0.016759,           0.0020549,           0.0068131,           0.0068131,            0.028913
                  20,            0.049718,            0.023552,           0.0032137,             0.25689,             0.48358,             0.25302,             0.14341,            0.021677,            0.017128,           0.0010968,           0.0071002,           0.0071002,              0.0253
                  21,            0.048008,            0.023276,           0.0027123,             0.26133,             0.58806,             0.37985,               0.169,            0.025545,            0.013734,           0.0023516,           0.0073822,           0.0073822,            0.021682
                  22,            0.051337,            0.023076,           0.0030163,             0.12085,             0.69552,             0.12775,            0.065372,            0.022351,            0.014729,           0.0021365,            0.007659,            0.007659,            0.018059
                  23,            0.049993,             0.02293,           0.0028134,             0.12658,             0.62836,             0.14824,             0.07717,            0.021689,             0.01752,           0.0041458,           0.0079307,           0.0079307,            0.014431
                  24,            0.047116,            0.023277,           0.0023213,             0.28148,             0.16878,             0.15355,            0.083923,            0.022083,            0.014398,           0.0043856,           0.0081972,           0.0081972,            0.010797
                  25,            0.045403,            0.024248,           0.0022516,              0.2813,              0.6209,             0.27918,             0.13371,            0.023824,            0.013759,           0.0036335,             0.00835,             0.00835,             0.00835
                  26,            0.047003,            0.023932,            0.002529,             0.22533,             0.52388,             0.21202,             0.12129,            0.022814,            0.014866,           0.0049898,             0.00835,             0.00835,             0.00835
                  27,             0.04355,            0.022914,           0.0019849,             0.10439,              0.6806,            0.094683,             0.05299,            0.023233,            0.018441,           0.0033325,            0.008284,            0.008284,            0.008284
                  28,            0.042727,            0.022012,           0.0019104,             0.15064,             0.63541,             0.16302,            0.095863,             0.02084,            0.018162,           0.0029772,            0.008218,            0.008218,            0.008218
                  29,            0.043859,            0.022915,           0.0020368,             0.14017,             0.81618,             0.16165,            0.090491,             0.02016,            0.017804,           0.0018441,            0.008152,            0.008152,            0.008152
                  30,            0.040809,             0.02202,            0.001778,             0.16121,             0.53502,             0.20063,             0.12405,            0.020649,            0.018893,           0.0012586,            0.008086,            0.008086,            0.008086
                  31,            0.042405,            0.022544,           0.0021133,             0.22125,             0.56119,             0.22833,              0.1346,            0.020028,            0.016826,           0.0056563,             0.00802,             0.00802,             0.00802
                  32,            0.041378,             0.02219,           0.0020676,              0.2047,             0.47612,             0.20078,             0.11966,            0.019331,            0.016773,           0.0030421,            0.007954,            0.007954,            0.007954
                  33,            0.038559,            0.021602,           0.0015263,             0.15329,             0.68786,             0.16593,            0.095963,            0.020664,            0.017675,           0.0052992,            0.007888,            0.007888,            0.007888
